window_index,ast_laughter_score,ast_any_laughter_score,ast_top_labels
0,0.11547887325286865,0.11547887325286865,"[{""label"": ""Speech"", ""score"": 0.9219091534614563}, {""label"": ""Male speech, man speaking"", ""score"": 0.34936437010765076}, {""label"": ""Narration, monologue"", ""score"": 0.1831725835800171}, {""label"": ""Chuckle, chortle"", ""score"": 0.17698431015014648}, {""label"": ""Laughter"", ""score"": 0.11547887325286865}]"
1,0.1367012858390808,0.1367012858390808,"[{""label"": ""Speech"", ""score"": 0.879061222076416}, {""label"": ""Male speech, man speaking"", ""score"": 0.3710198700428009}, {""label"": ""Narration, monologue"", ""score"": 0.16027559340000153}, {""label"": ""Chuckle, chortle"", ""score"": 0.15039938688278198}, {""label"": ""Laughter"", ""score"": 0.1367012858390808}]"
2,0.009783872403204441,0.009783872403204441,"[{""label"": ""Domestic animals, pets"", ""score"": 0.13969479501247406}, {""label"": ""Dog"", ""score"": 0.13968780636787415}, {""label"": ""Howl"", ""score"": 0.10882352292537689}, {""label"": ""Animal"", ""score"": 0.10259054601192474}, {""label"": ""Inside, small room"", ""score"": 0.09649717807769775}]"
3,0.052427466958761215,0.052427466958761215,"[{""label"": ""Speech"", ""score"": 0.92412269115448}, {""label"": ""Chuckle, chortle"", ""score"": 0.26356953382492065}, {""label"": ""Female speech, woman speaking"", ""score"": 0.24159234762191772}, {""label"": ""Conversation"", ""score"": 0.22548237442970276}, {""label"": ""Male speech, man speaking"", ""score"": 0.12197860330343246}]"
4,0.022340955212712288,0.022340955212712288,"[{""label"": ""Speech"", ""score"": 0.8377503752708435}, {""label"": ""Female speech, woman speaking"", ""score"": 0.06605594605207443}, {""label"": ""Conversation"", ""score"": 0.05142156034708023}, {""label"": ""Gargling"", ""score"": 0.04896640405058861}, {""label"": ""Male speech, man speaking"", ""score"": 0.04035241901874542}]"
5,0.08171909302473068,0.08171909302473068,"[{""label"": ""Speech"", ""score"": 0.8249478340148926}, {""label"": ""Chuckle, chortle"", ""score"": 0.22351425886154175}, {""label"": ""Male speech, man speaking"", ""score"": 0.1804277002811432}, {""label"": ""Laughter"", ""score"": 0.08171909302473068}, {""label"": ""Narration, monologue"", ""score"": 0.07859548926353455}]"
6,0.03143133595585823,0.03143133595585823,"[{""label"": ""Speech"", ""score"": 0.864169180393219}, {""label"": ""Male speech, man speaking"", ""score"": 0.1229347363114357}, {""label"": ""Narration, monologue"", ""score"": 0.07893898338079453}, {""label"": ""Conversation"", ""score"": 0.07889467477798462}, {""label"": ""Female speech, woman speaking"", ""score"": 0.06965917348861694}]"
7,0.008910217322409153,0.008910217322409153,"[{""label"": ""Speech"", ""score"": 0.8667290210723877}, {""label"": ""Inside, small room"", ""score"": 0.037393998354673386}, {""label"": ""Narration, monologue"", ""score"": 0.0355045311152935}, {""label"": ""Gasp"", ""score"": 0.03415706381201744}, {""label"": ""Breathing"", ""score"": 0.0320751890540123}]"
8,0.07831096649169922,0.07831096649169922,"[{""label"": ""Speech"", ""score"": 0.8475162982940674}, {""label"": ""Chuckle, chortle"", ""score"": 0.09157250076532364}, {""label"": ""Laughter"", ""score"": 0.07831096649169922}, {""label"": ""Male speech, man speaking"", ""score"": 0.0679919496178627}, {""label"": ""Roar"", ""score"": 0.060346584767103195}]"
9,0.19556716084480286,0.19556716084480286,"[{""label"": ""Speech"", ""score"": 0.8211782574653625}, {""label"": ""Laughter"", ""score"": 0.19556716084480286}, {""label"": ""Chuckle, chortle"", ""score"": 0.1402248591184616}, {""label"": ""Snicker"", ""score"": 0.11872221529483795}, {""label"": ""Male speech, man speaking"", ""score"": 0.07764627039432526}]"
10,0.049764834344387054,0.049764834344387054,"[{""label"": ""Speech"", ""score"": 0.7863855957984924}, {""label"": ""Clapping"", ""score"": 0.462930291891098}, {""label"": ""Hands"", ""score"": 0.13971781730651855}, {""label"": ""Child speech, kid speaking"", ""score"": 0.12287773191928864}, {""label"": ""Inside, large room or hall"", ""score"": 0.07308494299650192}]"
11,0.15280510485172272,0.15280510485172272,"[{""label"": ""Speech"", ""score"": 0.8133376836776733}, {""label"": ""Chuckle, chortle"", ""score"": 0.315635085105896}, {""label"": ""Laughter"", ""score"": 0.15280510485172272}, {""label"": ""Snicker"", ""score"": 0.14563852548599243}, {""label"": ""Female speech, woman speaking"", ""score"": 0.08979874104261398}]"
12,0.0984463170170784,0.0984463170170784,"[{""label"": ""Speech"", ""score"": 0.8379564881324768}, {""label"": ""Chuckle, chortle"", ""score"": 0.19465085864067078}, {""label"": ""Male speech, man speaking"", ""score"": 0.14657948911190033}, {""label"": ""Laughter"", ""score"": 0.0984463170170784}, {""label"": ""Narration, monologue"", ""score"": 0.08999259024858475}]"
13,0.013138151727616787,0.013138151727616787,"[{""label"": ""Speech"", ""score"": 0.6461786031723022}, {""label"": ""Crumpling, crinkling"", ""score"": 0.19340164959430695}, {""label"": ""Inside, small room"", ""score"": 0.14371563494205475}, {""label"": ""Tearing"", ""score"": 0.05556938797235489}, {""label"": ""Pant"", ""score"": 0.026483211666345596}]"
14,0.0519261509180069,0.0519261509180069,"[{""label"": ""Speech"", ""score"": 0.7387790083885193}, {""label"": ""Pant"", ""score"": 0.08970559388399124}, {""label"": ""Male speech, man speaking"", ""score"": 0.06793462485074997}, {""label"": ""Laughter"", ""score"": 0.0519261509180069}, {""label"": ""Door"", ""score"": 0.046062126755714417}]"
15,0.016044309362769127,0.016044309362769127,"[{""label"": ""Speech"", ""score"": 0.6706500053405762}, {""label"": ""Basketball bounce"", ""score"": 0.0838681235909462}, {""label"": ""Inside, large room or hall"", ""score"": 0.04760219156742096}, {""label"": ""Male speech, man speaking"", ""score"": 0.04499564319849014}, {""label"": ""Narration, monologue"", ""score"": 0.03160541504621506}]"
16,0.10849469900131226,0.10849469900131226,"[{""label"": ""Speech"", ""score"": 0.6628965735435486}, {""label"": ""Laughter"", ""score"": 0.10849469900131226}, {""label"": ""Chuckle, chortle"", ""score"": 0.08255936205387115}, {""label"": ""Water"", ""score"": 0.0632854476571083}, {""label"": ""Hiss"", ""score"": 0.04588685184717178}]"
17,0.2696874141693115,0.2696874141693115,"[{""label"": ""Speech"", ""score"": 0.8424478769302368}, {""label"": ""Laughter"", ""score"": 0.2696874141693115}, {""label"": ""Chuckle, chortle"", ""score"": 0.25477585196495056}, {""label"": ""Snicker"", ""score"": 0.17973120510578156}, {""label"": ""Male speech, man speaking"", ""score"": 0.08692869544029236}]"
18,0.14287777245044708,0.14287777245044708,"[{""label"": ""Speech"", ""score"": 0.8597443103790283}, {""label"": ""Chuckle, chortle"", ""score"": 0.2716624140739441}, {""label"": ""Laughter"", ""score"": 0.14287777245044708}, {""label"": ""Conversation"", ""score"": 0.09473910927772522}, {""label"": ""Snicker"", ""score"": 0.07661578059196472}]"
19,0.16909557580947876,0.16909557580947876,"[{""label"": ""Speech"", ""score"": 0.8780142664909363}, {""label"": ""Chuckle, chortle"", ""score"": 0.3068915605545044}, {""label"": ""Laughter"", ""score"": 0.16909557580947876}, {""label"": ""Male speech, man speaking"", ""score"": 0.11030828207731247}, {""label"": ""Snicker"", ""score"": 0.10660071671009064}]"
20,0.1284891813993454,0.1284891813993454,"[{""label"": ""Speech"", ""score"": 0.8953322768211365}, {""label"": ""Chuckle, chortle"", ""score"": 0.2936336100101471}, {""label"": ""Male speech, man speaking"", ""score"": 0.15907397866249084}, {""label"": ""Laughter"", ""score"": 0.1284891813993454}, {""label"": ""Conversation"", ""score"": 0.08470150083303452}]"
