window_index,window_start_sec,window_end_sec,window_duration_sec,source,omine_segment_index,omine_start_sec,omine_end_sec,omine_duration_sec
0,90.044,100.044,10.0,omine_centered_window,0,94.4727793696275,95.61604584527221,1.1432664756447082
1,91.689,101.689,10.0,omine_centered_window,1,96.41833810888252,96.95988538681948,0.5415472779369566
2,103.049,113.049,10.0,omine_centered_window,2,107.74785100286533,108.34957020057307,0.6017191977077374
3,132.246,142.246,10.0,omine_centered_window,3,136.82521489971347,137.6676217765043,0.8424068767908182
4,141.358,151.358,10.0,omine_centered_window,4,146.0573065902579,146.65902578796562,0.6017191977077232
5,169.403,179.403,10.0,omine_centered_window,5,173.34957020057305,175.45558739255014,2.106017191977088
6,175.973,185.973,10.0,omine_centered_window,6,180.64183381088824,181.30372492836676,0.6618911174785183
7,210.762,220.762,10.0,omine_centered_window,7,215.4813753581662,216.04297994269342,0.561604584527231
8,224.262,234.262,10.0,omine_centered_window,8,228.97134670487105,229.55300859598853,0.5816618911174771
9,229.092,239.092,10.0,omine_centered_window,9,233.83094555873924,234.35243553008596,0.5214899713467105
10,259.713,269.713,10.0,omine_centered_window,10,264.3323782234957,265.0945558739255,0.7621776504298055
11,266.087,276.087,10.0,omine_centered_window,11,270.35530085959886,271.8194842406877,1.4641833810888443
12,311.845,321.845,10.0,omine_centered_window,12,316.48424068767906,317.2063037249284,0.7220630372493133
13,350.877,360.877,10.0,omine_centered_window,13,355.21489971346705,356.5386819484241,1.3237822349570365
14,357.126,367.126,10.0,omine_centered_window,14,361.7249283667622,362.5272206303725,0.8022922636102976
15,369.202,379.202,10.0,omine_centered_window,15,374.07163323782237,374.3323782234957,0.26074498567334103
16,381.649,391.649,10.0,omine_centered_window,16,386.31805157593124,386.9799426934097,0.6618911174784898
17,394.794,404.794,10.0,omine_centered_window,17,399.55300859598856,400.03438395415475,0.4813753581661899
18,438.61,448.61,10.0,omine_centered_window,18,442.7679083094556,444.45272206303724,1.6848137535816363
19,441.113,451.113,10.0,omine_centered_window,19,445.8022922636103,446.4240687679083,0.6217765042979977
20,443.711,453.711,10.0,omine_centered_window,20,448.269340974212,449.1518624641834,0.8825214899713956
21,458.37,468.37,10.0,omine_centered_window,21,462.8080229226361,463.93123209169056,1.123209169054462
22,462.544,472.544,10.0,omine_centered_window,22,466.4785100286533,468.6103151862464,2.131805157593078
23,468.884,478.884,10.0,omine_centered_window,23,471.20343839541545,476.5644699140401,5.361031518624657
24,476.712,486.712,10.0,omine_centered_window,24,479.3925501432665,484.0315186246418,4.638968481375343
25,483.219,493.219,10.0,omine_centered_window,25,487.40687679083095,489.0315186246418,1.6246418338108697
26,496.027,506.027,10.0,omine_centered_window,26,500.07449856733524,501.9799426934097,1.9054441260744852
27,499.954,509.954,10.0,omine_centered_window,27,503.2492836676218,506.6590257879656,3.4097421203438216
28,504.784,514.784,10.0,omine_centered_window,28,508.89111747851,510.67621776504296,1.785100286532952
29,508.901,518.901,10.0,omine_centered_window,29,512.7879656160459,515.0143266475644,2.226361031518536
30,514.122,524.122,10.0,omine_centered_window,30,517.8481375358166,520.3954154727794,2.5472779369628142
31,530.301,540.301,10.0,omine_centered_window,31,535.1805157593124,535.4212034383954,0.24068767908306654
32,546.388,556.388,10.0,omine_centered_window,32,550.7965616045846,551.9799426934097,1.183381088825172
33,548.6,558.6,10.0,omine_centered_window,33,553.2492836676217,553.9512893982808,0.7020057306590388
