study_version,item_id,topic_id,topic,condition_code,pipeline_family,freek_style,text,model,result_sha256
acl-1,T01-A1,T01,Familie en opvoeding,A1,baseline,none,"Mijn ouders zeiden altijd: „Je mag later alles worden.” Dus ik werd precies zoals mijn vader: iemand die bij familie-etentjes zegt dat hij geen honger heeft, en vervolgens drie kinderen commandeert om zijn bord vol te scheppen.",gpt-5.6-terra,8b8e5cc88e3226f9344804db2861e687ab40d50a86f9b55cf66dbc5d1017db91
acl-1,T01-A2,T01,Familie en opvoeding,A2,baseline,freek,Mijn ouders zeiden altijd: „Je mag later alles worden.” Dus ik werd cabaretier. Nu vragen ze elke verjaardag wanneer ik eindelijk iets word.,gpt-5.6-terra,385989e1172f828c9ff02d55ad5e76dbdc62eef31e60c7f3b9d703d0a2e3af15
acl-1,T01-C1,T01,Familie en opvoeding,C1,script_opposition,none,"Bij ons thuis gelden vaste regels: eerst avondeten, daarna tandenpoetsen, en niemand gaat alleen naar buiten zonder briefje met ons nummer. Mijn vader moppert altijd dat ik te streng ben. Ik zeg: „Pap, dan parkeer ik je rollator voortaan binnen.”",gpt-5.6-terra,91fa18582dfd43976f55a582524a4fa72e3b24ea4d0629762e3328c626ae378b
acl-1,T01-C2,T01,Familie en opvoeding,C2,script_opposition,freek,"Aan tafel zei ik tegen mijn zoon: telefoon weg, we eten samen, iedereen is straks weer bereikbaar. Hij riep vanaf zijn stoel: “Dan geef ik dit gezin één ster; de bediening luistert niet.” Ik bood tien minuten schermtijd en een toetje aan voor het ongemak.",gpt-5.6-terra,1a6193a9f9c34303f255c11f16d03bc5802d2be91e3f333df728d21128ad0741
acl-1,T01-E1,T01,Familie en opvoeding,E1,validated_gtvh,none,"Thuis hanteer ik strakke regels: jas klaar, op tijd eten, en op de deur staat: ‘Niet alleen naar buiten; bel eerst mij.’ Dan geef ik de medicijndoos aan mam; zij kijkt me aan: ‘Goed idee, jongen, begin zelf maar met je avondmedicatie.’",gpt-5.6-terra,298f02aadd4e5b43aeea2369cbf12d31de49e5eaf24faa25425a5fec826ecd6c
acl-1,T01-E2,T01,Familie en opvoeding,E2,validated_gtvh,freek,"Bij ons is bedtijd simpel: tanden poetsen, pyjama aan, knuffel zoeken, want morgen is school. Mijn zoon zegt: „Prima, maar waar is uw democratisch mandaat?” Dus ik schorste het poetsen; de knuffels hadden geen draagvlak.",gpt-5.6-terra,6c2c91d4e74536344223dc8a5d8e84b98e3b075aada8f85338025d9ec11abd96
acl-1,T02-A1,T02,"Jeugd, school en de Zeeuwse jaren",A1,baseline,none,"Op school in Zeeland kregen we aardrijkskunde van een meester die altijd zei: ""Kinderen, de zee neemt alles terug."" Daarom had ik mijn huiswerk nooit bij me. Ik noemde het getijdenwerk.",gpt-5.6-terra,6cfac4ebe12097a18894b2ecfd76a8d4ccf8332e5db15a9706527a09a1311cc1
acl-1,T02-A2,T02,"Jeugd, school en de Zeeuwse jaren",A2,baseline,freek,"Op school in Zeeland leerde ik dat de zee vroeger kwam en ging. Ik dacht: mooi, dan hoef ik niet op tijd te zijn—de meester zei: „Nee jongen, jij bent eb. Je komt altijd te laat opdagen.”",gpt-5.6-terra,3c5bb7f7543debc6aa6f2dd4e8bd77bbe661b95be3aa82937cdd2bb6026058ce
acl-1,T02-C1,T02,"Jeugd, school en de Zeeuwse jaren",C1,script_opposition,none,"Ik kijk graag naar onze vergeelde klassenfoto uit Zeeland: iedereen natgeregend, klaar voor friet na school. Grappig hoe precies iedereen nog weet dat Bas zijn regenjas pas die avond kocht. Behalve de foto: Bas draagt hem al naast de vermiste leerling.",gpt-5.6-terra,5fb150a6db5ca7813609a96c27866604724a1b9cb64cf4068183f993eea9b1b7
acl-1,T02-C2,T02,"Jeugd, school en de Zeeuwse jaren",C2,script_opposition,freek,"Bij ons op school heette het advies maatwerk. Mijn ouders kwamen in hun nette jas, ik had de hoogste Cito-score, en de meester zei: „Hij kan het wel, als hij maar wil.” Toen adviseerde hij vmbo, want universiteit was voor ons „te veel wereld”.",gpt-5.6-terra,b678cc0a42bfc76d405d0e4db281588f95c2a64dbfbae978127312f81136716b
acl-1,T02-E1,T02,"Jeugd, school en de Zeeuwse jaren",E1,validated_gtvh,none,"Op mijn Zeeuwse middelbare school bepaalde het lesrooster alles: wiskunde, werkbladen, pauze in een afgebakende ruimte en uitzicht op de dijk. Na de bel zei de groepsleider: “Blijven zitten, eerst wordt de afdeling geteld.”",gpt-5.6-terra,b5a91ef0f13f17d01d381a9b9ffa4ee1be837719ac8eda4062f5db5a959431f3
