study_version,item_id,topic_id,topic,condition_code,pipeline_family,freek_style,text,model,result_sha256
acl-1,T01-A1,T01,Familie en opvoeding,A1,baseline,none,Mijn ouders zeiden altijd: ‘Je krijgt later spijt van alles wat je niet probeert.’ Daarom heb ik mijn puberteit opgevoed als een experiment. Nu belt mijn moeder nog steeds om te vragen waar de handleiding is.,gpt-5.6-terra,7deaffbc71732ecf5329dfabcc8b25d693e94c2c79b5c324a7110ac0aa0c91a2
acl-1,T01-A2,T01,Familie en opvoeding,A2,baseline,freek,"Mijn ouders zeiden altijd: ‘Wij voeden je vrij op.’ Dat betekende: je mocht alles worden, zolang het maar iets was waar zij op verjaardagen bescheiden over konden opscheppen. Vrijheid is in een gezin vaak gewoon gehoorzaamheid met een eigen kamer.",gpt-5.6-terra,d1321b52b9ba6b8cf561b7be8cd84ab8a39294d7c769a7b4d7dc4d6365dca71a
acl-1,T01-C1,T01,Familie en opvoeding,C1,script_opposition,none,Familie is geweldig: ze leren je loslaten. Daarna houden ze je zo stevig vast dat je nooit hoeft te oefenen.,gpt-5.6-terra,f16c230fe88032cf6c4415885a68028bea758b549b54322fd4b0d6368219513c
acl-1,T01-C2,T01,Familie en opvoeding,C2,script_opposition,freek,"Mijn ouders zeiden altijd: „Wij voeden je op voor de zelfstandigheid.” Dus ik woon nu op mezelf, betaal alles zelf en bel elke zondag om te vragen of het goed genoeg is.",gpt-5.6-terra,29351bcd9580e7fb73d62440008e3429a3cc17d8b906eab07078b042c8ecedd3
acl-1,T01-E1,T01,Familie en opvoeding,E1,validated_gtvh,none,"Mijn vader gaf me een preek over eerlijk zijn: 'Je liegt nooit, ook niet voor het gemak.' Bij de deurbel fluisterde hij: 'Zeg maar dat ik niet thuis ben.'",gpt-5.6-terra,2f1784c7314fcc58201deaff5795ae2913f6a37bb3c82557c1d8e15de252d1df
acl-1,T01-E2,T01,Familie en opvoeding,E2,validated_gtvh,freek,"Aan tafel zeiden mijn ouders trots dat ik een vrije studiekeuze had. Ze hadden alleen studie, sport, vrienden en mening alvast gekozen; ik mocht instemmen.",gpt-5.6-terra,652b35e779a46ec462a0d4610396cbe39963e914d6a1f6d1422009c7363906ac
acl-1,T02-A1,T02,"Jeugd, school en de Zeeuwse jaren",A1,baseline,none,"Op de Zeeuwse school leerden we vooral geduld: als de bel ging, wachtte iedereen eerst tot het geluid ook echt bij het volgende eiland was aangekomen.",gpt-5.6-terra,9e677e265c2def433908b342ecc6c64718f0e3728bba82c290c4a63b7ce79587
acl-1,T02-A2,T02,"Jeugd, school en de Zeeuwse jaren",A2,baseline,freek,"Op school in Zeeland leerden we dat Nederland een klein land is. Dat klopte: als het stormde, zat de helft van de klas al in België. De meester noemde dat aardrijkskunde. Wij noemden het voorbereidend hoger onderwijs: leren vertrekken vóór de overheid arriveert.",gpt-5.6-terra,24bd3aea7b1145013dcb416e788c5b3023955e9f36383c57e5e07c7425eb37c0
acl-1,T02-C1,T02,"Jeugd, school en de Zeeuwse jaren",C1,script_opposition,none,Zeeland gaf me een warm gevoel van verbondenheid: je hoefde nooit uit te leggen wie je was. Het dorp had je dossier al.,gpt-5.6-terra,f7a931cde15ca5fc1ad9e153ec9c08ed789399bd58c2f6573fc23c475286802e
acl-1,T02-C2,T02,"Jeugd, school en de Zeeuwse jaren",C2,script_opposition,freek,Op mijn rapport stond: ‘goed ontwikkeld’. Ik dacht: wat mooi. Achteraf betekende het gewoon dat ik zonder morren deed wat er van me verwacht werd.,gpt-5.6-terra,dcbb8e3ee4e8c5920e0c821adb7bd37182d8a6b10270a847cfd260f3c0f5cbbd
acl-1,T02-E1,T02,"Jeugd, school en de Zeeuwse jaren",E1,validated_gtvh,none,Op school in Zeeland leerde ik discipline; na de les bleef iedereen nog gezellig op het terrein. Vooral mijn celgenoot.,gpt-5.6-terra,43cfa86a8d66653600e33df308c5acb6b0d5653242add5a328a6c40cb301de6e
acl-1,T02-E2,T02,"Jeugd, school en de Zeeuwse jaren",E2,validated_gtvh,freek,"In Zeeland had je op school rust, ruimte en een horizon waar je toekomst makkelijk achter paste. Alleen vertrok die toekomst om kwart over vier met de laatste bus.",gpt-5.6-terra,e6279169b2c33c8dc7860be101e1c70cfc41da19b952ef6ac2d99b125d6d9339
acl-1,T03-A1,T03,"Religie, kerk en geloof",A1,baseline,none,"De kerk zegt dat je moet geloven zonder bewijs. Handig systeem: als je twijfelt, ligt het aan jou; als je betaalt, ligt het aan God.",gpt-5.6-terra,eebc9aed5a48dfedfc8d38d656526acac3878843bb528faa950b6ea6e68da2c7
acl-1,T03-A2,T03,"Religie, kerk en geloof",A2,baseline,freek,"De kerk zegt dat God overal is. Dat is prachtig geregeld: als Hij iets goeds doet, heet het een wonder; als er iets misgaat, was Hij er alleen geestelijk aanwezig.",gpt-5.6-terra,32e8610d043fe985c566618e8886e43c9913d1c98cfbcc3c7570001f0855d06e
acl-1,T03-C1,T03,"Religie, kerk en geloof",C1,script_opposition,none,Mijn buurman zegt dat zijn geloof hem houvast geeft. Ik snap het: zonder gebruiksaanwijzing pak je vanzelf iets vast.,gpt-5.6-terra,5a306daadad1cd3c32b70d0ebfddd367768885542b435cf3cc43920c6ffbcce4
acl-1,T03-C2,T03,"Religie, kerk en geloof",C2,script_opposition,freek,"Ik heb respect voor de kerk: een plek waar mensen troost zoeken, gemeenschap vinden en even stil worden. En dan komt de collecte langs: de factuur voor de onrust.",gpt-5.6-terra,dd3026c9c68b477d9dfa90c40c11f06d104093f4747f34d3cc0db844afb65f88
