session_id,is_test,active,reward_eligible,recruitment_source,assigned_item_ids,created_at,notes
acl-test-01-d4df9936,true,true,true,test,T05-C1|T15-C2|T06-A1|T09-E1|T01-E2|T13-E1|T19-C1|T20-E2|T11-C2|T03-E2|T02-A2|T17-C2|T04-A1|T12-C1|T16-A1|T07-C2|T10-A2|T08-A1|T14-E1|T18-A2,2026-08-13,Test session 01
acl-test-02-51509e02,true,true,true,test,T14-E2|T19-C2|T02-C1|T04-A2|T11-E1|T13-E2|T12-C2|T16-A2|T05-C2|T06-A2|T10-C1|T08-A2|T07-E1|T18-C1|T01-A1|T20-A1|T09-E2|T15-E1|T03-A1|T17-E1,2026-08-13,Test session 02
acl-test-03-2a523785,true,true,true,test,T07-E2|T09-A1|T10-C2|T05-E1|T03-A2|T06-C1|T19-E1|T11-E2|T16-C1|T04-C1|T08-C1|T15-E2|T20-A2|T13-A1|T17-E2|T14-A1|T18-C2|T02-C2|T12-E1|T01-A2,2026-08-13,Test session 03
acl-test-04-7dbcde52,true,true,true,test,T08-C2|T02-E1|T07-A1|T04-C2|T09-A2|T10-E1|T06-C2|T17-A1|T12-E2|T01-C1|T11-A1|T14-A2|T18-E1|T16-C2|T15-A1|T03-C1|T05-E2|T19-E2|T13-A2|T20-C1,2026-08-13,Test session 04
acl-test-05-40f33984,true,true,true,test,T13-C1|T02-E2|T17-A2|T16-E1|T03-C2|T20-C2|T18-E2|T01-C2|T07-A2|T14-C1|T04-E1|T06-E1|T08-E1|T12-A1|T10-E2|T15-A2|T09-C1|T11-A2|T19-A1|T05-A1,2026-08-13,Test session 05
acl-test-06-9a03d107,true,true,true,test,T03-E1|T04-E2|T07-C1|T08-E2|T19-A2|T16-E2|T17-C1|T09-C2|T13-C2|T18-A1|T12-A2|T15-C1|T20-E1|T02-A1|T14-C2|T05-A2|T10-A1|T11-C1|T01-E1|T06-E2,2026-08-13,Test session 06
acl-test-07-0f91cf5e,true,true,true,test,T14-E1|T06-A1|T08-A1|T07-C2|T03-E2|T12-C1|T09-E1|T05-C1|T19-C1|T15-C2|T01-E2|T10-A2|T16-A1|T11-C2|T17-C2|T04-A1|T18-A2|T20-E2|T02-A2|T13-E1,2026-08-13,Test session 07
acl-test-08-42b9cc91,true,true,true,test,T09-E2|T17-E1|T05-C2|T11-E1|T08-A2|T12-C2|T07-E1|T06-A2|T16-A2|T13-E2|T14-E2|T19-C2|T02-C1|T04-A2|T18-C1|T20-A1|T01-A1|T15-E1|T10-C1|T03-A1,2026-08-13,Test session 08
acl-test-09-48dc81b7,true,true,true,test,T16-C1|T18-C2|T12-E1|T03-A2|T19-E1|T06-C1|T01-A2|T07-E2|T20-A2|T05-E1|T09-A1|T02-C2|T04-C1|T14-A1|T17-E2|T11-E2|T08-C1|T10-C2|T13-A1|T15-E2,2026-08-13,Test session 09
acl-test-10-03614420,true,true,true,test,T03-C1|T09-A2|T11-A1|T16-C2|T12-E2|T15-A1|T19-E2|T01-C1|T14-A2|T10-E1|T13-A2|T08-C2|T17-A1|T07-A1|T05-E2|T04-C2|T02-E1|T06-C2|T20-C1|T18-E1,2026-08-13,Test session 10
