session_id,is_test,active,assignment_groups,created_at,notes
test-01-DU8NXu1m,true,true,G01|G02|G03|G04|G05,2026-07-30,Staging test link 01
test-02-CVM5_s67,true,true,G06|G07|G08|G09|G10,2026-07-30,Staging test link 02
test-03-viwspebC,true,true,G01|G02|G06|G11|G12,2026-07-30,Staging test link 03
test-04-es8fvhYW,true,true,G03|G04|G07|G08|G11,2026-07-30,Staging test link 04
test-05-SIhk_boI,true,true,G03|G05|G09|G10|G12,2026-07-30,Staging test link 05
test-06-fDpGFu6p,true,true,G01|G04|G07|G09|G12,2026-07-30,Staging test link 06
test-07-SNKbCw41,true,true,G02|G05|G08|G10|G11,2026-07-30,Staging test link 07
test-08-bxdyKo5y,true,true,G04|G05|G06|G08|G12,2026-07-30,Staging test link 08
test-09-rHQtzmEl,true,true,G01|G03|G06|G07|G10,2026-07-30,Staging test link 09
test-10-KvPvblxx,true,true,G02|G03|G06|G09|G11,2026-07-30,Staging test link 10
